t,avg_water_temp,n_active_bubbles,retentained,dissolved,degraded,precipitated,leached
84.62156609,34.64523315,1334,99.98264307,0.010239934,0.00025562,0.006861373,0.017101307
85.12433105,34.75430298,1382,99.98254267,0.010205231,0.000254374,0.006997725,0.017202956
85.62557842,34.85736084,1427,99.98243599,0.010197096,0.000251829,0.007115081,0.017312177
86.13359455,34.95782471,1485,99.98232932,0.010173601,0.000243509,0.007253573,0.017427174
86.64251247,35.05654907,1471,99.98221009,0.010115068,0.000242678,0.007432163,0.017547231
87.14426004,35.15496826,1664,99.98209086,0.010035067,0.000234063,0.007640007,0.017675074
87.64862975,35.25540161,1762,99.98195281,0.009974062,0.000236106,0.007837021,0.017811083
88.15032536,35.36245728,1631,99.98182731,0.009933109,0.000232292,0.00800729,0.017940399
88.65781073,35.47802734,1611,99.98170808,0.009877636,0.000225519,0.008188762,0.018066398
89.16990418,35.58779907,1742,99.98158886,0.00982175,0.000221167,0.008368228,0.018189978
89.6761068,35.68273926,1817,99.98146335,0.009738746,0.000222067,0.008575833,0.018314579
90.18576907,35.78125,1831,99.98134413,0.009629823,0.00021644,0.008809611,0.018439434
90.68858004,35.88583374,1621,99.98121235,0.009520839,0.000217038,0.009049773,0.018570612
91.19597777,35.9989624,1616,99.9810743,0.009383933,0.000214097,0.009327672,0.018711605
91.69631707,36.11416626,1810,99.98093624,0.00922253,0.000208872,0.009632353,0.018854883
92.20066815,36.22747803,1875,99.98079192,0.009061745,0.000205707,0.00994063,0.019002375
92.70655014,36.34390259,1966,99.98064759,0.008967616,0.000200219,0.010184575,0.019152191
93.21845447,36.47012329,2028,99.98049071,0.008913455,0.000203454,0.010392377,0.019305832
93.72428569,36.6036377,2113,99.98033384,0.008868655,0.000203592,0.010593918,0.019462573
94.23257998,36.74060059,2047,99.98017068,0.008803277,0.00019758,0.01082846,0.019631737
94.74270852,36.87979126,2089,99.97999498,0.008732345,0.000197376,0.011075299,0.019807644
95.25479747,37.01876831,2088,99.97981928,0.008632665,0.000197134,0.011350924,0.019983589
95.76631714,37.15856934,2165,99.97964357,0.008533375,0.000198468,0.011624583,0.020157958
96.27818812,37.30685425,2253,99.97948042,0.00845922,0.000187561,0.011872797,0.020332017
96.78646585,37.46292114,2362,99.97930472,0.008367733,0.000190212,0.012137336,0.020505069
97.29173405,37.62478638,2297,99.97913529,0.00822717,0.000190147,0.012447392,0.020674562
97.79698621,37.78259277,2155,99.97896586,0.008061286,0.000189292,0.012783558,0.020844844
98.29902374,37.92840576,2175,99.97879644,0.00789877,0.000183525,0.013121269,0.021020039
98.80455378,38.06369019,2352,99.97862073,0.007715836,0.00018131,0.013482121,0.021197957
99.3113621,38.18991089,2402,99.97843876,0.007540959,0.000176521,0.013843765,0.021384724
99.81936165,38.31085205,2780,99.97823795,0.007344429,0.000184469,0.01423315,0.021577579
100.3222875,38.4286499,2716,99.97805597,0.007172486,0.000179845,0.014591695,0.021764181
100.8249366,38.55230713,2643,99.97788655,0.007057056,0.000173861,0.014882537,0.021939593
101.3275211,38.68084717,2491,99.97771084,0.006956271,0.000176877,0.015156008,0.022112279
101.8384146,38.81155396,2506,99.97753514,0.006858634,0.000176758,0.015429467,0.022288101
102.3486633,38.94018555,2768,99.97736571,0.006792602,0.000169903,0.015671781,0.022464383
102.8600082,39.06921387,2856,99.97718373,0.006669911,0.000169399,0.015976956,0.022646867
103.3684151,39.20089722,2738,99.97700176,0.006540069,0.000173871,0.016284304,0.022824373
103.8742248,39.33428955,2690,99.97683233,0.006438734,0.000172708,0.016556229,0.022994963
